,id,ident,name,latitude_deg,longitude_deg,country_name,region_name,municipality,iata_code,full_text,score
1094,21286,KUDD,Bermuda Dunes Airport,33.748492,-116.275027,United States,California,Bermuda Dunes,UDD,"Bermuda Dunes Airport, Bermuda Dunes, United States, UDD",50
1095,26745,WAAA,Hasanuddin International Airport,-5.06163,119.554001,Indonesia,Sulawesi Selatan (South Sulawesi),Ujung Pandang,UPG,"Hasanuddin International Airport, Ujung Pandang, Indonesia, UPG",1275
1096,5168,OIII,Mehrabad International Airport,35.68920135498047,51.31340026855469,Iran,Tehran Province,Tehran,THR,"Mehrabad International Airport, Tehran, Iran, THR",1200
1097,3174,HDAM,Djibouti-Ambouli Airport,11.5473,43.1595,Djibouti,Djibouti Region,Djibouti City,JIB,"Djibouti-Ambouli Airport, Djibouti City, Djibouti, JIB",1050
1098,3040,FZAA,Ndjili International Airport,-4.38575,15.4446,Democratic Republic of the Congo,Kinshasa Province,Kinshasa,FIH,"Ndjili International Airport, Kinshasa, Democratic Republic of the Congo, FIH",1050
1099,3364,KADW,Joint Base Andrews,38.810799,-76.866997,United States,Maryland,Camp Springs,ADW,"Joint Base Andrews, Camp Springs, United States, ADW",1000
1100,3358,KABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,United States,South Dakota,Aberdeen,ABR,"Aberdeen Regional Airport, Aberdeen, United States, ABR",750
1101,5883,SBCG,Campo Grande Airport,-20.469998,-54.673988,Brazil,Mato Grosso do Sul,Campo Grande,CGR,"Campo Grande Airport, Campo Grande, Brazil, CGR",750
1102,3532,KFLO,Florence Regional Airport,34.18539810180664,-79.7238998413086,United States,South Carolina,Florence,FLO,"Florence Regional Airport, Florence, United States, FLO",750
1103,4523,LTAU,Kayseri Erkilet Airport,38.770401001,35.4953994751,Turkey,Kayseri Province,Kayseri,ASR,"Kayseri Erkilet Airport, Kayseri, Turkey, ASR",750
1104,26808,WBGG,Kuching International Airport,1.487364,110.352859,Malaysia,Sarawak,Kuching,KCH,"Kuching International Airport, Kuching, Malaysia, KCH",750
1105,2893,FLLI,Harry Mwanga Nkumbula International Airport,-17.8218,25.822701,Zambia,Southern Province,Livingstone,LVI,"Harry Mwanga Nkumbula International Airport, Livingstone, Zambia, LVI",750
1106,2593,ENSB,"Svalbard Airport, Longyear",78.246101379395,15.465600013733,Norway,Svalbard,Longyearbyen,LYR,"Svalbard Airport, Longyear, Longyearbyen, Norway, LYR",750
1107,3682,KMGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,39.643305,-79.917598,United States,West Virginia,Morgantown,MGW,"Morgantown Municipal Airport Walter L. (Bill) Hart Field, Morgantown, United States, MGW",750
1108,6043,SCTE,El Tepual Airport,-41.43889999389648,-73.09400177001953,Chile,Los Lagos Region,Puerto Montt,PMC,"El Tepual Airport, Puerto Montt, Chile, PMC",750
1109,3850,KRKS,Southwest Wyoming Regional Airport,41.5942,-109.065001,United States,Wyoming,Rock Springs,RKS,"Southwest Wyoming Regional Airport, Rock Springs, United States, RKS",750
